poi_id,poi_name,category,category_alt,address,locality,postcode,region,country,source,latitude,longitude,easting,northing,lsoa21cd,geometry
08f194ad30ad69910345e0e10020ed2b,ArchesArt,art_gallery,art_museum|community_services_non_profits,46 East Smithfield,London,E1 8LX,ENG,GB,meta,51.5087024,-0.0694543,534073.8241753583,180630.112572007,E01035697,POINT (534073.8241753583 180630.112572007)
08f195da49c88c71033f6e6cb3c789ab,Aria Art Gallery,art_gallery,arts_and_entertainment,4 Mandeville Place,London,W1U 2BG,ENG,GB,meta,51.5162462,-0.1509466,528397.6266029369,181322.99065883167,E01004714,POINT (528397.6266029369 181322.99065883178)
08f195da4ecd818503ac7af830a2d3df,Art 4 Fun,art_gallery,arts_and_crafts|arts_and_entertainment,172 West End Lane,London,NW6 1SD,ENG,GB,meta,51.5491408,-0.19119,525515.0176297682,184911.2445078477,E01000972,POINT (525515.0176297682 184911.2445078477)
08f195da4bcf4593038239517b53754d,Art Border Line Ltd,art_gallery,art_museum,5 Cleveland Square,London,W2 6DH,ENG,GB,meta,51.514799,-0.1815477,526278.4565905037,181108.8538122245,E01004697,POINT (526278.4565905037 181108.85381222446)
08f195da4d74626b034d74269dffeb12,Art By Animals,art_gallery,arts_and_entertainment,21 University Street,London,WC1E 6,ENG,GB,meta,51.5234852,-0.1344726,529520.1016449953,182157.0033913671,E01035711,POINT (529520.1016449953 182157.0033913671)
08f194ad253958c1034852f542d8e7b8,Art Hub Studios,art_gallery,arts_and_entertainment|arts_and_crafts,34 Bowater Road,London,SE18 5TF,ENG,GB,meta,51.4945858,0.0398726,541704.0108991502,179266.12832173955,E01034198,POINT (541704.0108991502 179266.12832173955)
08f194ad04b0d2250305ea98015a288e,Art Hub Studios CIC,art_gallery,arts_and_entertainment,5 Creekside,London,SE8 4SA,ENG,GB,meta,51.4768617,-0.0212886,537511.8741653138,177178.64335450518,E01032579,POINT (537511.8741653138 177178.64335450518)
08f194ad100b06a5035ddf92414e6bfa,Art Move Ltd,art_gallery,freight_and_cargo_service|arts_and_entertainment,Stewart's Rd,,SW8 4UG,,GB,meta,51.4738708,-0.1388246,529358.4859397262,176632.02410445135,E01035499,POINT (529358.4859397262 176632.02410445135)
08f194ad3108296a03f2291b55e96f11,Art Number 23 | Gallery | London,art_gallery,arts_and_entertainment,"Lock'd, 100 Clements Road",London,SE16 4DG,ENG,GB,meta,51.4940154,-0.0621156,534626.3185119433,179010.34249200614,E01004024,POINT (534626.3185119433 179010.34249200614)
08f194ad3486e7b00310c0e14daf8417,Art Pendeo,art_gallery,arts_and_entertainment|tattoo_and_piercing,,London,,,GB,meta,51.5349342,-0.0542976,535048.0206026796,183575.01014446944,E01035660,POINT (535048.0206026796 183575.01014446944)
08f194ad3012279103b8d624bfe039ae,Art Play Nights,art_gallery,topic_concert_venue,56 Middlesex Street,London,E1 7EZ,ENG,GB,meta,51.5159811,-0.0758928,533605.757812566,181427.75803335203,E01004307,POINT (533605.757812566 181427.75803335203)
08f194ad361067720350a07305a27063,Art Space Gallery,art_gallery,art_museum|arts_and_entertainment,84 St Peter's Street,London,N1 8JS,ENG,GB,meta,51.5332571,-0.0974109,532062.8389334709,183309.8702926768,E01002802,POINT (532062.8389334709 183309.8702926768)
08f194ad04b762d103464236c64bd5e8,Art in Perpetuity Trust,art_gallery,arts_and_entertainment,6 Creekside,London,SE8 4,ENG,GB,meta,51.4768539,-0.0208918,537539.4516695427,177178.52072535764,E01032579,POINT (537539.4516695427 177178.52072535764)
08f194e69829931e0392fc54ba68c907,Art in the Game Ltd,art_gallery,arts_and_entertainment|tattoo_and_piercing,9 Queens Yard,London,E9 5,ENG,GB,meta,51.5430472,-0.023368,537168.6894603777,184534.6985426605,E01035657,POINT (537168.6894603777 184534.6985426605)
08f195da491096f503a9aefa05c0f861,Art of Tailoring,art_gallery,sewing_and_alterations|arts_and_entertainment,13 Savile Row,London,W1S 3PH,ENG,GB,meta,51.5102967,-0.1398318,529185.6096057689,180680.9280215007,E01035716,POINT (529185.6096057689 180680.9280215007)
08f194ad18ae98820389f9c9c7446667,Art with Love,art_gallery,arts_and_entertainment,,London,,,GB,meta,51.41335,-0.0909,532862.0589797333,169987.68718287547,E01001156,POINT (532862.0589797333 169987.68718287547)
08f194ad305156650397d697c345cbcc,ArtMoorHouse,art_gallery,arts_and_entertainment,120 London Wall,London,EC2Y 5ET,ENG,GB,meta,51.5176275,-0.0896052,532649.5875612218,181585.916555178,E01000002,POINT (532649.5875612218 181585.91655517794)
08f194e69154290c0364a9ebdfc4aac9,ArtWorks Project Space and Artist Studios (BAGT),art_gallery,arts_and_entertainment,"Blackhorse Lane Studios - Bagt, 114A",London,E17 6,ENG,GB,meta,51.5913122,-0.0396288,535897.2763044855,189871.57553453115,E01004401,POINT (535897.2763044855 189871.57553453115)
08f195da628713340324de9b41ecdd49,Arties,art_gallery,arts_and_entertainment|topic_concert_venue,Manor Drive Church Hall,,N20 0DZ,,GB,meta,51.6235312,-0.159049,527535.1128130722,193239.43865796365,E01000265,POINT (527535.1128130722 193239.43865796365)
08f195da6234b5040361552d1ffa0693,Artisticky Kids,art_gallery,arts_and_entertainment|arts_and_crafts,20 Woodleigh Avenue,London,N12 0LL,ENG,GB,meta,51.61081,-0.16087,527444.667683172,191821.5938409514,E01000162,POINT (527444.667683172 191821.5938409514)
08f194ada592651c034b1382e296dc0c,Arts Imperial,art_gallery,arts_and_entertainment|topic_concert_venue,,London,,,GB,meta,51.4987724,-0.1763786,526681.5174591984,179335.55487061874,E01035718,POINT (526681.5174591984 179335.55487061874)
08f194ad14591cce03d16f40f1ac20d4,Arts and Sketches,art_gallery,arts_and_entertainment,123 Victoria Street,London,SW1H 0,ENG,GB,meta,51.4967465,-0.1383885,529324.0867107675,179176.64485536297,E01004748,POINT (529324.0867107675 179176.64485536295)
08f194e6d29a4194030010a03dd1abb9,Arts for Refugees,art_gallery,arts_and_entertainment|community_services_non_profits,51 Powis Street,London,SE18 6JD,ENG,GB,meta,51.49129,0.06653,543564.7285986341,178951.53915557842,E01033735,POINT (543564.7285986341 178951.53915557842)
08f195da556e1aaa03743918575da0c1,Arty Palace Ltd,art_gallery,arts_and_entertainment,297 Edgware Road,London,NW9 6NB,ENG,GB,meta,51.589649,-0.2541922,521039.3721924625,189309.8770703547,E01000516,POINT (521039.3721924625 189309.8770703547)
08f195da49d1c656037ccb25ba9ae576,Asia House,art_gallery,arts_and_entertainment,63 New Cavendish Street,London,W1G 7LP,ENG,GB,meta,51.519601,-0.146312,528709.7340617452,181704.1923818671,E01004713,POINT (528709.7340617452 181704.1923818671)
08f194ad32da450d035c988e75e2db66,Asian Art in London HQ,art_gallery,community_services_non_profits|arts_and_entertainment,21 John Street,London,WC1N 2BF,ENG,GB,meta,51.5227043,-0.1159542,530806.9727539122,182103.0789447204,E01000920,POINT (530806.9727539122 182103.07894472033)
08f194ada8d2311a0358d52bfe79033c,Atkinsons'Kram Gallery,art_gallery,community_services_non_profits|arts_and_entertainment,302 Garratt Lane,London,SW18 4EH,ENG,GB,meta,51.4442249,-0.1904463,525854.991963658,173245.44024655066,E01004496,POINT (525854.991963658 173245.44024655066)
08f195da4835cd0d03d04a8d781d4e30,Atlas Gallery,art_gallery,art_museum|arts_and_entertainment,49 Dorset Street,London,W1U 6,ENG,GB,meta,51.5195211,-0.1552886,528087.1895766912,181679.5696721172,E01004712,POINT (528087.1895766912 181679.56967211713)
08f194adabc0bc1e031baa9f1871e5c4,Aubergine Art Gallery & Picture Framing,art_gallery,arts_and_entertainment,1 Queens Road,London,SW19 8NG,ENG,GB,meta,51.4206255,-0.2045392,524939.9611816905,170597.01394342358,E01003456,POINT (524939.9611816905 170597.01394342358)
08f195da6acd2413034c0b88fef5ab35,Avivson Gallery,art_gallery,art_museum,82 Highgate High Street,London,N6 5HX,ENG,GB,meta,51.5708848,-0.1486419,528403.7575437146,187403.08257801988,E01000913,POINT (528403.7575437146 187403.08257801988)
08f195da69ae64740366c77c1cce490a,BSMT Space,art_gallery,arts_and_entertainment,529 Kingsland Road,London,E8 4AR,ENG,GB,meta,51.5457487,-0.0759116,533517.398390786,184737.97216296307,E01001756,POINT (533517.398390786 184737.97216296307)
08f195da49b2b4ec033a81e69c09a206,Bailey Exhibition,art_gallery,arts_and_entertainment|museum,"National Portrait Gallery, 2 St Martin's Place",London,WC2H 0HE,ENG,GB,meta,51.5096146,-0.12745,530046.734266379,180626.9867398673,E01004734,POINT (530046.734266379 180626.9867398673)
08f194ad32aab72303d18b9660312dbb,Bankside Gallery,art_gallery,art_museum|arts_and_entertainment,48 Hopton Street,London,SE1 9JH,ENG,GB,meta,51.5081712,-0.1012093,531871.7864092373,180513.3923004216,E01003934,POINT (531871.7864092373 180513.3923004216)
08f195da6926a100033e32951bbffd49,Barbican Arts Group Trust Artists Studios,art_gallery,community_services_non_profits|arts_and_entertainment,32a Hertford Road,London,N1 5,ENG,GB,meta,51.5388411,-0.07872,533342.848844435,183964.7059265797,E01035642,POINT (533342.848844435 183964.7059265797)
08f194ad3205ea6a03658613e26378b9,Bargehouse,art_gallery,museum|arts_and_entertainment,"Oxo Tower Wharf, Barge House St",,SE1 9PH,,GB,meta,51.5081156,-0.1084381,531370.3119734214,180494.21960160905,E01003934,POINT (531370.3119734214 180494.21960160905)
08f194ad34d4524803d6e9d0c95b92e6,Bayne & Geddes Art Studio,art_gallery,arts_and_entertainment|event_photography,Shrubland Rd.,London,E8,,GB,meta,51.5395369,-0.06509,534286.0006219952,184066.9930062504,E01001815,POINT (534286.0006219952 184066.9930062504)
08f194ad141516ee033a874e1e13b37d,Beaconsfield Contemporary Art,art_gallery,museum|art_museum,"Beaconsfield, 22 Newport Street",London,SE11 6AY,ENG,GB,meta,51.4920928,-0.1186768,530705.6041434344,178694.11991895136,E01003112,POINT (530705.6041434344 178694.11991895136)
08f194ad1d415795030c659c8c201aff,Becondalehouse,art_gallery,interior_design|arts_and_entertainment,23 Becondale Road,London,SE19 1QJ,ENG,GB,meta,51.4225665,-0.0848581,533255.4135694464,171023.53621489252,E01003070,POINT (533255.4135694464 171023.53621489252)
08f195da491b4675036212ab49800a5c,Bel-Air Fine Art London,art_gallery,art_museum|modern_art_museum,105 New Bond Street,London,W1S 1DN,ENG,GB,meta,51.5136,-0.1459033,528754.996061442,181037.5765180568,E01035716,POINT (528754.996061442 181037.5765180568)
08f194ad32d318f2030c8d376b9f9fb4,Beleza London,art_gallery,arts_and_entertainment|printing_services,38 Mount Pleasant,London,WC1X 0AN,ENG,GB,meta,51.522485,-0.1130165,531011.3952857401,182083.943386932,E01000917,POINT (531011.3952857401 182083.94338693202)
08f195da4e2b3604031bc72e78d82089,Ben Uri Gallery and Museum,art_gallery,museum|art_museum,108a Boundary Road,London,NW8 0,ENG,GB,meta,51.5375078,-0.1852216,525960.9126804916,183627.8479777695,E01000929,POINT (525960.9126804916 183627.8479777695)
08f194ad3380126003e1549273ed469e,Bermondsey Project Space,art_gallery,community_services_non_profits|arts_and_entertainment,183 Bermondsey Street,London,SE1 3UW,ENG,GB,meta,51.4987356,-0.0810109,533300.9391274151,179500.68666716095,E01032646,POINT (533300.9391274151 179500.68666716095)
08f194ad36058a8e033f014ae1ce542e,Betts Project,art_gallery,art_museum|arts_and_entertainment,100 Central Street,London,EC1V 8AJ,ENG,GB,meta,51.5269023,-0.0966773,532132.1018691985,182604.5185875925,E01002702,POINT (532132.1018691985 182604.51858759247)
08f194ad06a35d8403dbad0ff028376e,Big Soda Ltd,art_gallery,commercial_industrial|arts_and_entertainment,130 Station Passage,London,SE15 2,ENG,GB,meta,51.4752681,-0.0567336,535055.2469985577,176935.5093290335,E01004005,POINT (535055.2469985577 176935.5093290335)
08f194ada8742042031aa0e2bfae0da9,Bipasha Ghosh,art_gallery,arts_and_entertainment|health_and_medical,30 Gap Road,London,SW19 8JG,ENG,GB,meta,51.427697,-0.193719,525672.8801802149,171401.87350217055,E01003477,POINT (525672.8801802149 171401.87350217055)
